Round Number, Network Remaining Energy
-1,25.000000
1,24.993899
2,24.953543
3,24.888208
4,24.851416
5,24.807309
6,24.751264
7,24.691403
8,24.651126
9,24.594360
10,24.557553
11,24.522563
12,24.488669
13,24.479580
14,24.420704
15,24.385498
16,24.315409
17,24.251313
18,24.208315
19,24.136524
20,24.078725
21,24.036403
22,23.999065
23,23.937016
24,23.900615
25,23.840743
26,23.807319
27,23.773559
28,23.673774
29,23.659519
30,23.622075
31,23.613254
32,23.492703
33,23.430461
34,23.385745
35,23.348742
36,23.294118
37,23.247249
38,23.187268
39,23.155012
40,23.098659
41,23.048129
42,23.014693
43,22.950190
44,22.885521
45,22.838210
46,22.779400
47,22.716574
48,22.665530
49,22.612234
50,22.575440
51,22.524195
52,22.460361
53,22.423857
54,22.376814
55,22.343989
56,22.290833
57,22.220578
58,22.168549
59,22.105497
60,22.048278
61,22.013441
62,21.969288
63,21.910737
64,21.849258
65,21.723748
66,21.674211
67,21.640018
68,21.582579
69,21.518174
70,21.474209
71,21.432840
72,21.385794
73,21.331483
74,21.297599
75,21.263916
76,21.189945
77,21.151299
78,21.141532
79,21.102815
80,20.944615
81,20.893455
82,20.884334
83,20.849158
84,20.812218
85,20.735373
86,20.688614
87,20.620132
88,20.581162
89,20.544731
90,20.510913
91,20.450122
92,20.401865
93,20.369739
94,20.336171
95,20.270818
96,20.258205
97,20.206405
98,20.173455
99,20.111087
100,20.074201
101,20.007698
102,19.955894
103,19.918060
104,19.879454
105,19.869837
106,19.835978
107,19.753542
108,19.718455
109,19.654567
110,19.612583
111,19.550898
112,19.506757
113,19.470343
114,19.436446
115,19.370237
116,19.287124
117,19.277410
118,19.245068
119,19.209654
120,19.152694
121,19.117252
122,19.025860
123,18.961984
124,18.905606
125,18.842695
126,18.792942
127,18.735859
128,18.702498
129,18.692888
130,18.611446
131,18.577103
132,18.529170
133,18.495288
134,18.428024
135,18.387744
136,18.353429
137,18.320555
138,18.288430
139,18.221491
140,18.182749
141,18.132651
142,18.074402
143,18.064166
144,18.016066
145,17.946566
146,17.848437
147,17.785523
148,17.748216
149,17.701190
150,17.666247
151,17.603020
152,17.567706
153,17.530818
154,17.483933
155,17.418561
156,17.355353
157,17.320387
158,17.282290
159,17.231570
160,17.183448
161,17.126586
