Round Number, Total Energy Consumption
-1,0.000000
1,0.006101
2,0.046457
3,0.111792
4,0.148584
5,0.192691
6,0.248736
7,0.308597
8,0.348874
9,0.405640
10,0.442447
11,0.477437
12,0.511331
13,0.520420
14,0.579296
15,0.614502
16,0.684591
17,0.748687
18,0.791685
19,0.863476
20,0.921275
21,0.963597
22,1.000935
23,1.062984
24,1.099385
25,1.159257
26,1.192681
27,1.226441
28,1.326226
29,1.340481
30,1.377925
31,1.386746
32,1.507297
33,1.569539
34,1.614255
35,1.651258
36,1.705882
37,1.752751
38,1.812732
39,1.844988
40,1.901341
41,1.951871
42,1.985307
43,2.049810
44,2.114479
45,2.161790
46,2.220600
47,2.283426
48,2.334470
49,2.387766
50,2.424560
51,2.475805
52,2.539639
53,2.576143
54,2.623186
55,2.656011
56,2.709167
57,2.779422
58,2.831451
59,2.894503
60,2.951722
61,2.986559
62,3.030712
63,3.089263
64,3.150742
65,3.276252
66,3.325789
67,3.359982
68,3.417421
69,3.481826
70,3.525791
71,3.567160
72,3.614206
73,3.668517
74,3.702401
75,3.736084
76,3.810055
77,3.848701
78,3.858468
79,3.897185
80,4.055385
81,4.106545
82,4.115666
83,4.150842
84,4.187782
85,4.264627
86,4.311386
87,4.379868
88,4.418838
89,4.455269
90,4.489087
91,4.549878
92,4.598135
93,4.630261
94,4.663829
95,4.729182
96,4.741795
97,4.793595
98,4.826545
99,4.888913
100,4.925799
101,4.992302
102,5.044106
103,5.081940
104,5.120546
105,5.130163
106,5.164022
107,5.246458
108,5.281545
109,5.345433
110,5.387417
111,5.449102
112,5.493243
113,5.529657
114,5.563554
115,5.629763
116,5.712876
117,5.722590
118,5.754932
119,5.790346
120,5.847306
121,5.882748
122,5.974140
123,6.038016
124,6.094394
125,6.157305
126,6.207058
127,6.264141
128,6.297502
129,6.307112
130,6.388554
131,6.422897
132,6.470830
133,6.504712
134,6.571976
135,6.612256
136,6.646571
137,6.679445
138,6.711570
139,6.778509
140,6.817251
141,6.867349
142,6.925598
143,6.935834
144,6.983934
145,7.053434
146,7.151563
147,7.214477
148,7.251784
149,7.298810
150,7.333753
151,7.396980
152,7.432294
153,7.469182
154,7.516067
155,7.581439
156,7.644647
157,7.679613
158,7.717710
159,7.768430
160,7.816552
161,7.873414
162,7.943542
163,7.974824
164,8.019026
165,8.055888
166,8.099542
167,8.155675
168,8.192149
169,8.246444
170,8.293635
171,8.330600
172,8.364010
173,8.400477
174,8.486005
175,8.576705
176,8.585809
177,8.641831
178,8.721611
179,8.803065
180,8.846939
181,8.884001
182,8.934156
183,8.969531
184,9.036647
185,9.073366
186,9.148544
187,9.187338
188,9.256653
189,9.293327
190,9.347350
191,9.381935
192,9.444224
193,9.523652
194,9.558715
195,9.715195
196,9.748959
197,9.802726
198,9.864041
199,9.897766
200,9.937987
201,9.972916
202,10.033075
203,10.088149
204,10.147175
205,10.194100
206,10.241400
207,10.305888
208,10.353504
209,10.402811
210,10.437548
211,10.469610
212,10.478764
213,10.537007
214,10.587393
215,10.647995
216,10.699599
217,10.733757
218,10.782847
219,10.852886
220,10.892220
221,10.925901
222,10.986744
223,11.023036
224,11.063617
225,11.121737
226,11.167488
227,11.200959
228,11.210533
229,11.243748
230,11.304421
231,11.344513
232,11.397080
233,11.435825
234,11.471562
235,11.536789
236,11.597829
237,11.630050
238,11.639601
239,11.673556
240,11.705203
241,11.751262
242,11.782155
243,11.838198
244,11.892722
245,11.977161
246,12.024100
247,12.060618
248,12.095897
249,12.105529
250,12.159543
251,12.203841
252,12.300132
253,12.353964
254,12.362673
255,12.411370
256,12.450895
257,12.483580
258,12.536567
259,12.575160
260,12.606573
261,12.644106
262,12.683821
263,12.716083
264,12.746573
265,12.803019
266,13.003819
267,13.037017
268,13.128305
269,13.188016
270,13.210281
271,13.269799
272,13.302827
273,13.355178
274,13.382604
275,13.421249
276,13.451036
277,13.459636
278,13.501183
279,13.528364
280,13.562020
281,13.590180
282,13.623330
283,13.665363
284,13.720676
285,13.732541
286,13.764783
287,13.799148
288,13.854540
289,13.882496
290,13.908171
291,13.947244
292,13.955644
293,13.991221
294,14.024718
295,14.057246
296,14.082489
297,14.114431
298,14.141713
299,14.157476
300,14.185086
301,14.211109
302,14.243547
303,14.275044
304,14.298577
305,14.324590
306,14.350979
307,14.360585
308,14.416368
309,14.424568
310,14.447512
311,14.482502
312,14.516290
313,14.558817
314,14.587083
315,14.613512
316,14.662367
317,14.689712
318,14.713022
319,14.737078
320,14.775253
