Round Number, No of CH
-1,0
1,5
2,3
3,5
4,5
5,5
6,4
7,5
8,5
9,5
10,5
11,4
12,4
13,5
14,5
15,4
16,5
17,3
18,2
19,5
20,5
21,5
22,3
23,5
24,5
25,3
26,5
27,4
28,3
29,2
30,5
31,5
32,1
33,1
34,5
35,3
36,4
37,5
38,5
39,5
40,5
41,5
42,4
43,4
44,2
45,3
46,5
47,4
48,5
49,4
50,5
51,5
52,4
53,4
54,5
55,3
56,5
57,3
58,2
59,5
60,5
61,5
62,5
63,4
64,5
65,3
66,5
67,5
68,5
69,2
70,4
71,4
72,5
73,5
74,5
75,5
76,2
77,3
78,5
79,3
80,0
81,5
82,5
83,2
84,5
85,3
86,5
87,5
88,5
89,5
90,4
91,3
92,4
93,5
94,5
95,5
96,5
97,4
98,3
99,4
100,3
101,5
102,5
103,3
104,5
105,5
106,5
107,5
108,3
109,3
110,4
111,5
112,5
113,3
114,5
115,5
116,4
117,4
118,5
119,5
120,4
121,5
122,3
123,4
124,5
125,5
126,5
127,5
128,4
129,4
130,5
131,3
132,5
133,3
134,5
135,5
136,5
137,5
138,5
139,4
140,5
141,5
142,5
143,3
144,5
145,4
146,3
147,5
148,5
149,3
150,2
151,5
152,5
153,5
154,5
155,2
156,5
157,5
158,2
159,5
160,5
161,2
162,4
163,5
164,5
165,5
166,5
167,5
168,2
169,5
170,5
171,5
172,5
173,4
174,3
175,1
176,5
177,3
178,4
179,4
180,5
181,2
182,5
183,5
184,3
185,5
186,5
187,5
188,5
189,2
190,4
191,4
192,5
193,4
194,5
195,2
196,5
197,5
198,5
199,5
200,5
201,5
202,4
203,5
204,3
205,5
206,4
207,5
208,3
209,5
210,5
211,4
212,5
213,3
214,4
215,5
216,4
217,5
218,2
219,5
220,3
221,5
222,5
223,5
224,5
225,4
226,1
227,5
228,5
229,2
230,5
231,5
232,3
233,5
234,5
235,3
236,4
237,5
238,5
239,3
240,5
241,2
242,5
243,4
244,4
245,5
246,5
247,3
248,5
249,5
250,5
251,5
252,1
253,5
254,5
255,5
256,2
257,5
258,5
259,2
260,5
261,5
262,4
263,5
264,5
265,5
266,0
267,5
268,3
269,3
270,3
271,5
272,4
273,5
274,5
275,3
276,3
277,0
278,5
279,5
280,3
281,5
282,4
283,3
284,2
285,5
286,3
287,5
288,5
289,5
290,5
291,3
292,0
293,4
294,5
295,5
296,3
297,2
298,5
299,5
300,4
301,5
302,3
303,5
304,5
305,2
306,3
307,3
308,5
309,0
310,5
311,4
312,5
313,4
314,2
315,2
316,3
317,2
318,3
319,4
320,5
321,5
322,4
323,4
324,5
325,0
326,5
327,4
328,4
329,4
330,4
331,4
332,3
333,2
334,3
335,4
336,4
337,5
338,5
339,4
340,2
341,5
342,5
343,5
344,2
345,2
346,3
347,2
348,5
349,5
350,5
351,2
352,3
353,0
354,5
355,5
356,1
357,5
358,5
359,3
360,3
361,5
362,4
363,2
364,4
365,2
366,5
367,4
368,1
369,3
370,4
371,5
372,3
373,4
374,4
375,5
376,3
377,4
378,3
379,2
380,5
381,3
382,4
383,1
384,1
385,5
386,2
387,3
388,1
389,4
390,3
391,2
392,3
393,3
394,5
395,0
396,5
397,5
398,3
399,3
400,5
401,3
402,4
403,2
404,5
405,3
406,4
407,5
408,2
409,1
410,2
411,5
412,5
413,1
414,4
415,3
416,1
417,5
418,4
419,4
420,5
421,2
422,4
423,4
424,1
425,1
426,5
427,3
428,4
429,2
430,4
431,5
432,1
433,3
434,4
435,5
436,2
437,3
438,2
439,0
440,3
441,3
442,5
443,5
444,5
445,1
446,5
447,3
448,3
449,1
450,2
451,5
452,2
453,4
454,3
455,4
456,1
457,2
458,5
459,5
460,5
461,2
462,2
463,1
464,3
465,5
466,4
467,3
468,4
469,3
470,3
471,2
472,3
473,4
474,3
475,5
476,4
477,3
478,3
479,4
480,3
481,1
482,4
483,5
484,3
485,5
486,2
487,4
488,4
489,1
490,2
491,5
492,5
493,1
494,1
495,3
496,2
497,3
498,2
499,5
500,4
501,3
502,2
503,5
504,3
505,5
506,0
507,0
508,4
509,4
510,4
511,2
512,1
513,3
514,4
515,5
516,2
517,2
518,2
519,5
520,4
521,3
522,3
523,1
524,5
525,5
526,4
527,1
528,2
529,0
530,1
531,4
532,3
533,5
534,5
535,2
536,2
537,2
538,1
539,4
540,3
541,3
542,2
543,0
544,4
545,2
546,2
547,5
548,3
549,2
550,4
551,2
552,4
553,1
554,4
555,1
556,3
557,1
558,3
559,5
560,2
561,1
562,3
563,4
564,3
565,1
566,2
567,4
568,1
569,5
570,2
571,5
572,0
573,3
574,2
575,2
576,2
577,4
578,4
579,1
580,2
581,3
582,3
583,3
584,3
585,1
586,3
587,4
588,1
589,3
590,2
591,3
592,1
593,2
594,3
595,3
596,3
597,4
598,5
599,0
600,2
601,5
602,5
603,4
604,2
605,1
606,0
607,0
608,2
609,5
610,2
611,5
612,0
613,2
614,1
615,4
616,4
617,1
618,4
619,1
620,4
621,3
622,4
623,3
624,3
625,1
626,3
627,2
628,1
629,2
630,2
631,2
632,2
633,4
634,4
635,0
636,5
637,2
638,4
639,1
640,0
641,4
642,3
643,4
644,1
645,0
646,3
647,4
648,5
649,1
650,4
651,2
652,3
653,1
654,5
655,1
656,2
657,2
658,2
659,3
660,4
661,1
662,1
663,0
664,4
665,1
666,1
667,2
668,5
669,5
670,4
671,4
672,3
673,2
674,1
675,3
676,3
677,1
678,5
679,0
680,2
681,2
682,2
683,4
684,4
685,1
686,4
687,2
688,3
689,2
690,2
691,1
692,3
693,2
694,3
695,3
696,4
697,2
698,3
699,2
700,4
701,0
702,1
703,2
704,2
705,2
706,2
707,2
708,3
709,5
710,1
711,3
712,2
713,2
714,4
715,3
716,0
717,5
718,2
719,1
720,5
721,1
722,4
723,2
724,2
725,3
726,3
727,0
728,3
729,1
730,1
731,5
732,3
733,3
734,2
735,3
736,3
737,2
738,2
739,0
740,2
741,2
742,1
743,5
744,2
745,4
746,0
747,2
748,2
749,2
750,4
751,2
752,2
753,3
754,3
755,2
756,3
757,2
758,0
759,3
760,1
761,5
762,1
763,0
764,3
765,0
766,2
767,4
768,1
769,4
770,2
771,1
772,3
773,1
774,2
775,5
776,0
777,3
778,3
779,2
780,2
781,4
782,4
783,2
784,2
785,1
786,1
787,2
788,2
789,2
790,2
791,3
792,0
793,2
794,4
795,2
796,3
797,0
798,3
799,1
800,4
801,0
802,2
803,2
804,3
805,3
806,1
807,0
808,3
809,2
810,2
811,1
812,2
813,2
814,3
815,3
816,1
817,2
818,1
819,3
820,1
821,5
822,2
823,2
824,1
825,1
826,1
827,1
828,2
829,3
830,4
831,1
832,3
833,1
834,3
835,4
836,3
837,1
838,0
839,0
840,1
841,2
842,4
