Round Number, Throughput
-1,0
1,1
2,47
3,45
4,45
5,45
6,46
7,45
8,45
9,45
10,45
11,46
12,46
13,9
14,45
15,46
16,45
17,47
18,48
19,45
20,45
21,45
22,47
23,45
24,45
25,47
26,45
27,46
28,47
29,10
30,45
31,9
32,49
33,49
34,45
35,47
36,46
37,45
38,45
39,45
40,45
41,45
42,46
43,46
44,48
45,47
46,45
47,46
48,45
49,46
50,45
51,45
52,46
53,46
54,45
55,47
56,45
57,47
58,48
59,45
60,45
61,45
62,45
63,46
64,45
65,47
66,45
67,45
68,45
69,48
70,46
71,46
72,45
73,45
74,45
75,45
76,48
77,47
78,10
79,47
80,0
81,45
82,9
83,48
84,45
85,47
86,45
87,45
88,45
89,45
90,46
91,47
92,46
93,45
94,45
95,45
96,9
97,46
98,47
99,46
100,47
101,45
102,45
103,47
104,45
105,10
106,45
107,45
108,47
109,47
110,46
111,45
112,45
113,47
114,45
115,45
116,46
117,10
118,45
119,45
120,46
121,45
122,47
123,46
124,45
125,45
126,45
127,45
128,46
129,10
130,45
131,47
132,45
133,47
134,45
135,45
136,45
137,45
138,45
139,46
140,45
141,45
142,45
143,10
144,45
145,46
146,47
147,45
148,45
149,47
150,48
151,45
152,45
153,45
154,45
155,48
156,45
157,45
158,48
159,45
160,45
161,48
162,46
163,9
164,45
165,45
166,45
167,45
168,48
169,45
170,45
171,45
172,45
173,46
174,47
175,49
176,9
177,47
178,46
179,46
180,45
181,48
182,45
183,45
184,47
185,45
186,45
187,45
188,45
189,48
190,46
191,46
192,45
193,46
194,45
195,48
196,45
197,45
198,45
199,45
200,45
201,45
202,46
203,45
204,47
205,45
206,46
207,45
208,47
209,45
210,45
211,46
212,8
213,48
214,47
215,46
216,46
217,46
218,49
219,46
220,49
221,47
222,45
223,47
224,47
225,48
226,51
227,47
228,10
229,50
230,47
231,47
232,49
233,45
234,47
235,49
236,48
237,47
238,10
239,49
240,48
241,51
242,48
243,49
244,49
245,48
246,48
247,47
248,48
249,10
250,48
251,48
252,53
253,49
254,9
255,49
256,52
257,45
258,49
259,53
260,50
261,45
262,51
263,51
264,51
265,51
266,0
267,55
268,57
269,57
270,11
271,65
272,56
273,55
274,55
275,57
276,57
277,0
278,54
279,54
280,56
281,54
282,55
283,56
284,57
285,10
286,65
287,54
288,54
289,54
290,54
291,56
292,0
293,55
294,54
295,54
296,56
297,57
298,54
299,11
300,64
301,54
302,56
303,54
304,54
305,57
306,56
307,10
308,63
309,0
310,54
311,55
312,54
313,55
314,57
315,57
316,56
317,57
318,56
319,55
320,54
321,54
322,55
323,55
324,11
325,0
326,54
327,55
328,55
329,55
330,55
331,10
332,65
333,57
334,56
335,55
336,55
337,54
338,54
339,55
340,57
341,54
342,54
343,54
344,57
345,57
346,56
347,57
348,9
349,63
350,54
351,57
352,10
353,0
354,54
355,54
356,58
357,54
358,54
359,56
360,56
361,54
362,55
363,57
364,55
365,57
366,10
367,64
368,58
369,56
370,55
371,54
372,56
373,28
374,56
375,54
376,56
377,55
378,56
379,57
380,54
381,56
382,55
383,58
384,58
385,27
386,58
387,56
388,58
389,55
390,56
391,57
392,56
393,56
394,54
395,0
396,54
397,54
398,56
399,56
400,54
401,56
402,55
403,57
404,54
405,29
406,56
407,54
408,57
409,58
410,29
411,55
412,54
413,58
414,55
415,56
416,58
417,54
418,55
419,55
420,54
421,57
422,55
423,55
424,58
425,58
426,54
427,56
428,55
429,57
430,55
431,54
432,58
433,56
434,55
435,54
436,57
437,56
438,57
439,0
440,56
441,56
442,54
443,10
444,62
445,58
446,54
447,56
448,56
449,58
450,57
451,54
452,57
453,55
454,56
455,27
456,59
457,57
458,54
459,54
460,54
461,57
462,57
463,58
464,56
465,54
466,55
467,56
468,55
469,56
470,56
471,57
472,56
473,55
474,56
475,54
476,55
477,56
478,56
479,55
480,56
481,58
482,55
483,54
484,56
485,54
486,57
487,55
488,55
489,58
490,57
491,54
492,54
493,58
494,58
495,56
496,57
497,56
498,57
499,54
500,55
501,56
502,57
503,36
504,57
505,54
506,0
507,0
508,56
509,56
510,56
511,30
512,60
513,57
514,56
515,55
516,58
517,58
518,58
519,55
520,56
521,57
522,57
523,59
524,55
525,55
526,56
527,59
528,58
529,0
530,59
531,11
532,66
533,55
534,55
535,58
536,58
537,58
538,59
539,56
540,57
541,57
542,58
543,0
544,56
545,58
546,58
547,55
548,57
549,58
550,56
551,11
552,65
553,59
554,56
555,59
556,57
557,58
558,56
559,54
560,57
561,58
562,56
563,55
564,56
565,58
566,57
567,55
568,58
569,54
570,57
571,54
572,0
573,56
574,57
575,57
576,57
577,55
578,55
579,58
580,57
581,56
582,57
583,56
584,56
585,58
586,56
587,55
588,58
589,56
590,57
591,56
592,58
593,57
594,56
595,56
596,56
597,55
598,54
599,0
600,57
601,54
602,54
603,55
604,58
605,58
606,0
607,0
608,57
609,54
610,57
611,54
612,0
613,57
614,58
615,55
616,55
617,58
618,55
619,58
620,55
621,56
622,55
623,56
624,56
625,58
626,57
627,57
628,58
629,57
630,57
631,57
632,57
633,55
634,55
635,0
636,54
637,57
638,55
639,58
640,0
641,55
642,56
643,55
644,58
645,0
646,56
647,55
648,55
649,58
650,55
651,57
652,56
653,58
654,54
655,58
656,57
657,57
658,57
659,56
660,55
661,58
662,58
663,0
664,55
665,58
666,58
667,57
668,54
669,54
670,56
671,55
672,56
673,57
674,58
675,56
676,56
677,58
678,54
679,0
680,57
681,57
682,57
683,55
684,55
685,58
686,55
687,57
688,56
689,57
690,57
691,58
692,57
693,57
694,56
695,56
696,55
697,57
698,56
699,57
700,55
701,0
702,58
703,57
704,57
705,57
706,57
707,57
708,56
709,54
710,58
711,56
712,57
713,57
714,56
715,56
716,0
717,54
718,57
719,58
720,54
721,58
722,55
723,57
724,57
725,56
726,56
727,0
728,56
729,58
730,58
731,54
732,56
733,56
734,57
735,56
736,57
737,57
738,57
739,0
740,57
741,57
742,58
743,54
744,57
745,55
746,0
747,57
748,57
749,57
750,55
751,57
752,57
753,56
754,56
755,57
756,56
757,57
758,0
759,56
760,58
761,54
762,58
763,0
764,56
765,0
766,57
767,55
768,58
769,55
770,57
771,58
772,56
773,58
774,57
775,54
776,0
777,56
778,56
779,57
780,58
781,55
782,55
783,57
784,57
785,58
786,58
787,57
788,57
789,57
790,57
791,56
792,0
793,57
794,55
795,57
796,56
797,0
798,56
799,58
800,55
801,0
802,58
803,57
804,56
805,56
806,58
807,0
808,56
809,57
810,57
811,58
812,57
813,57
814,56
815,56
816,58
817,57
818,58
819,56
820,58
821,54
822,57
823,57
824,59
825,58
826,58
827,58
828,57
829,56
830,55
831,58
832,56
833,58
834,56
835,55
836,56
837,58
838,0
839,0
840,58
841,57
842,55
843,58
844,56
845,57
846,0
847,56
848,58
849,57
850,57
851,58
852,55
853,57
854,56
855,58
856,58
857,58
858,58
859,57
860,56
861,56
862,57
863,0
864,58
865,57
866,57
867,58
868,58
869,57
870,56
871,57
872,0
873,55
874,57
875,57
876,58
877,0
878,57
879,58
880,0
881,57
882,58
883,57
884,54
885,57
886,58
887,58
888,56
889,0
890,58
891,57
892,57
893,56
894,0
895,58
896,56
897,0
898,0
899,58
900,58
901,58
902,56
903,58
904,58
905,58
906,58
907,56
908,57
909,0
910,0
911,58
912,56
913,57
914,55
915,0
916,0
917,0
918,56
919,0
920,58
921,0
922,58
923,58
924,56
925,56
926,57
927,58
928,58
929,58
930,58
931,56
932,57
933,57
934,59
935,0
936,58
937,58
938,58
939,57
940,58
941,58
942,57
943,57
944,55
945,0
946,0
947,58
948,58
949,58
950,57
951,0
952,57
953,0
954,57
955,57
956,58
957,0
958,58
959,58
960,57
961,58
962,0
963,57
964,58
965,58
966,0
967,0
968,57
969,58
970,0
971,0
972,57
973,0
974,58
975,0
976,0
977,57
978,58
979,57
980,57
981,0
982,58
983,58
984,58
985,58
986,57
987,0
988,58
989,0
990,58
991,57
992,0
993,58
994,57
995,0
996,57
997,58
998,0
999,0
1000,0
1001,58
1002,0
1003,0
1004,58
1005,57
1006,0
1007,0
1008,57
1009,0
1010,0
1011,58
1012,0
1013,59
1014,0
1015,59
1016,0
1017,0
1018,0
1019,59
1020,59
1021,0
1022,0
1023,0
1024,0
1025,58
1026,59
1027,0
1028,0
1029,0
1030,0
1031,58
1032,59
1033,0
1034,0
1035,59
1036,0
1037,0
1038,0
1039,0
1040,59
1041,0
1042,0
1043,59
1044,0
1045,59
1046,59
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
