Round Number, No data in Sink
-1,0
1,1
2,48
3,93
4,138
5,183
6,229
7,274
8,319
9,364
10,409
11,455
12,501
13,510
14,555
15,601
16,646
17,693
18,741
19,786
20,831
21,876
22,923
23,968
24,1013
25,1060
26,1105
27,1151
28,1198
29,1208
30,1253
31,1262
32,1311
33,1360
34,1405
35,1452
36,1498
37,1543
38,1588
39,1633
40,1678
41,1723
42,1769
43,1815
44,1863
45,1910
46,1955
47,2001
48,2046
49,2092
50,2137
51,2182
52,2228
53,2274
54,2319
55,2366
56,2411
57,2458
58,2506
59,2551
60,2596
61,2641
62,2686
63,2732
64,2777
65,2824
66,2869
67,2914
68,2959
69,3007
70,3053
71,3099
72,3144
73,3189
74,3234
75,3279
76,3327
77,3374
78,3384
79,3431
80,3431
81,3476
82,3485
83,3533
84,3578
85,3625
86,3670
87,3715
88,3760
89,3805
90,3851
91,3898
92,3944
93,3989
94,4034
95,4079
96,4088
97,4134
98,4181
99,4227
100,4274
101,4319
102,4364
103,4411
104,4456
105,4466
106,4511
107,4556
108,4603
109,4650
110,4696
111,4741
112,4786
113,4833
114,4878
115,4923
116,4969
117,4979
118,5024
119,5069
120,5115
121,5160
122,5207
123,5253
124,5298
125,5343
126,5388
127,5433
128,5479
129,5489
130,5534
131,5581
132,5626
133,5673
134,5718
135,5763
136,5808
137,5853
138,5898
139,5944
140,5989
141,6034
142,6079
143,6089
144,6134
145,6180
146,6227
147,6272
148,6317
149,6364
150,6412
151,6457
152,6502
153,6547
154,6592
155,6640
156,6685
157,6730
158,6778
159,6823
160,6868
161,6916
162,6962
163,6971
164,7016
165,7061
166,7106
167,7151
168,7199
169,7244
170,7289
171,7334
172,7379
173,7425
174,7472
175,7521
176,7530
177,7577
178,7623
179,7669
180,7714
181,7762
182,7807
183,7852
184,7899
185,7944
186,7989
187,8034
188,8079
189,8127
190,8173
191,8219
192,8264
193,8310
194,8355
195,8403
196,8448
197,8493
198,8538
199,8583
200,8628
201,8673
202,8719
203,8764
204,8811
205,8856
206,8902
207,8947
208,8994
209,9039
210,9084
211,9130
212,9138
213,9186
214,9233
215,9279
216,9325
217,9371
218,9420
219,9466
220,9515
221,9562
222,9607
223,9654
224,9701
225,9749
226,9800
227,9847
228,9857
229,9907
230,9954
231,10001
232,10050
233,10095
234,10142
235,10191
236,10239
237,10286
238,10296
239,10345
240,10393
241,10444
242,10492
243,10541
244,10590
245,10638
246,10686
247,10733
248,10781
249,10791
250,10839
251,10887
252,10940
253,10989
254,10998
255,11047
256,11099
257,11144
258,11193
259,11246
260,11296
261,11341
262,11392
263,11443
264,11494
265,11545
266,11545
267,11600
268,11657
269,11714
270,11725
271,11790
272,11846
273,11901
274,11956
275,12013
276,12070
277,12070
278,12124
279,12178
280,12234
281,12288
282,12343
283,12399
284,12456
285,12466
286,12531
287,12585
288,12639
289,12693
290,12747
291,12803
292,12803
293,12858
294,12912
295,12966
296,13022
297,13079
298,13133
299,13144
300,13208
301,13262
302,13318
303,13372
304,13426
305,13483
306,13539
307,13549
308,13612
309,13612
310,13666
311,13721
312,13775
313,13830
314,13887
315,13944
316,14000
317,14057
318,14113
319,14168
320,14222
321,14276
322,14331
323,14386
324,14397
325,14397
326,14451
327,14506
328,14561
329,14616
330,14671
331,14681
332,14746
333,14803
334,14859
335,14914
336,14969
337,15023
338,15077
339,15132
340,15189
341,15243
342,15297
343,15351
344,15408
345,15465
346,15521
347,15578
348,15587
349,15650
350,15704
351,15761
352,15771
353,15771
354,15825
355,15879
356,15937
357,15991
358,16045
359,16101
360,16157
361,16211
362,16266
363,16323
364,16378
365,16435
366,16445
367,16509
368,16567
369,16623
370,16678
371,16732
372,16788
373,16816
374,16872
375,16926
376,16982
377,17037
378,17093
379,17150
380,17204
381,17260
382,17315
383,17373
384,17431
385,17458
386,17516
387,17572
388,17630
389,17685
390,17741
391,17798
392,17854
393,17910
394,17964
395,17964
396,18018
397,18072
398,18128
399,18184
400,18238
401,18294
402,18349
403,18406
404,18460
405,18489
406,18545
407,18599
408,18656
409,18714
410,18743
411,18798
412,18852
413,18910
414,18965
415,19021
416,19079
417,19133
418,19188
419,19243
420,19297
421,19354
422,19409
423,19464
424,19522
425,19580
426,19634
427,19690
428,19745
429,19802
430,19857
431,19911
432,19969
433,20025
434,20080
435,20134
436,20191
437,20247
438,20304
439,20304
440,20360
441,20416
442,20470
443,20480
444,20542
445,20600
446,20654
447,20710
448,20766
449,20824
450,20881
451,20935
452,20992
453,21047
454,21103
455,21130
456,21189
457,21246
458,21300
459,21354
460,21408
461,21465
462,21522
463,21580
464,21636
465,21690
466,21745
467,21801
468,21856
469,21912
470,21968
471,22025
472,22081
473,22136
474,22192
475,22246
476,22301
477,22357
478,22413
479,22468
480,22524
481,22582
482,22637
483,22691
484,22747
485,22801
486,22858
487,22913
488,22968
489,23026
490,23083
491,23137
492,23191
493,23249
494,23307
495,23363
496,23420
497,23476
498,23533
499,23587
500,23642
501,23698
502,23755
503,23791
504,23848
505,23902
506,23902
507,23902
508,23958
509,24014
510,24070
511,24100
512,24160
513,24217
514,24273
515,24328
516,24386
517,24444
518,24502
519,24557
520,24613
521,24670
522,24727
523,24786
524,24841
525,24896
526,24952
527,25011
528,25069
529,25069
530,25128
531,25139
532,25205
533,25260
534,25315
535,25373
536,25431
537,25489
538,25548
539,25604
540,25661
541,25718
542,25776
543,25776
544,25832
545,25890
546,25948
547,26003
548,26060
549,26118
550,26174
551,26185
552,26250
553,26309
554,26365
555,26424
556,26481
557,26539
558,26595
559,26649
560,26706
561,26764
562,26820
563,26875
564,26931
565,26989
566,27046
567,27101
568,27159
569,27213
570,27270
571,27324
572,27324
573,27380
574,27437
575,27494
576,27551
577,27606
578,27661
579,27719
580,27776
581,27832
582,27889
583,27945
584,28001
585,28059
586,28115
587,28170
588,28228
589,28284
590,28341
591,28397
592,28455
593,28512
594,28568
595,28624
596,28680
597,28735
598,28789
599,28789
600,28846
601,28900
602,28954
603,29009
604,29067
605,29125
606,29125
607,29125
608,29182
609,29236
610,29293
611,29347
612,29347
613,29404
614,29462
615,29517
616,29572
617,29630
618,29685
619,29743
620,29798
621,29854
622,29909
623,29965
624,30021
625,30079
626,30136
627,30193
628,30251
629,30308
630,30365
631,30422
632,30479
633,30534
634,30589
635,30589
636,30643
637,30700
638,30755
639,30813
640,30813
641,30868
642,30924
643,30979
644,31037
645,31037
646,31093
647,31148
648,31203
649,31261
650,31316
651,31373
652,31429
653,31487
654,31541
655,31599
656,31656
657,31713
658,31770
659,31826
660,31881
661,31939
662,31997
663,31997
664,32052
665,32110
666,32168
667,32225
668,32279
669,32333
670,32389
671,32444
672,32500
673,32557
674,32615
675,32671
676,32727
677,32785
678,32839
679,32839
680,32896
681,32953
682,33010
683,33065
684,33120
685,33178
686,33233
687,33290
688,33346
689,33403
690,33460
691,33518
692,33575
693,33632
694,33688
695,33744
696,33799
697,33856
698,33912
699,33969
700,34024
701,34024
702,34082
703,34139
704,34196
705,34253
706,34310
707,34367
708,34423
709,34477
710,34535
711,34591
712,34648
713,34705
714,34761
715,34817
716,34817
717,34871
718,34928
719,34986
720,35040
721,35098
722,35153
723,35210
724,35267
725,35323
726,35379
727,35379
728,35435
729,35493
730,35551
731,35605
732,35661
733,35717
734,35774
735,35830
736,35887
737,35944
738,36001
739,36001
740,36058
741,36115
742,36173
743,36227
744,36284
745,36339
746,36339
747,36396
748,36453
749,36510
750,36565
751,36622
752,36679
753,36735
754,36791
755,36848
756,36904
757,36961
758,36961
759,37017
760,37075
761,37129
762,37187
763,37187
764,37243
765,37243
766,37300
767,37355
768,37413
769,37468
770,37525
771,37583
772,37639
773,37697
774,37754
775,37808
776,37808
777,37864
778,37920
779,37977
780,38035
781,38090
782,38145
783,38202
784,38259
785,38317
786,38375
787,38432
788,38489
789,38546
790,38603
791,38659
792,38659
793,38716
794,38771
795,38828
796,38884
797,38884
798,38940
799,38998
800,39053
801,39053
802,39111
803,39168
804,39224
805,39280
806,39338
807,39338
808,39394
809,39451
810,39508
811,39566
812,39623
813,39680
814,39736
815,39792
816,39850
817,39907
818,39965
819,40021
820,40079
821,40133
822,40190
823,40247
824,40306
825,40364
826,40422
827,40480
828,40537
829,40593
830,40648
831,40706
832,40762
833,40820
834,40876
835,40931
836,40987
837,41045
838,41045
839,41045
840,41103
841,41160
842,41215
843,41273
844,41329
845,41386
846,41386
847,41442
848,41500
849,41557
850,41614
851,41672
852,41727
853,41784
854,41840
855,41898
856,41956
857,42014
858,42072
859,42129
860,42185
861,42241
862,42298
863,42298
864,42356
865,42413
866,42470
867,42528
868,42586
869,42643
870,42699
871,42756
872,42756
873,42811
874,42868
875,42925
876,42983
877,42983
878,43040
879,43098
880,43098
881,43155
882,43213
883,43270
884,43324
885,43381
886,43439
887,43497
888,43553
889,43553
890,43611
891,43668
892,43725
893,43781
894,43781
895,43839
896,43895
897,43895
898,43895
899,43953
900,44011
901,44069
902,44125
903,44183
904,44241
905,44299
906,44357
907,44413
908,44470
909,44470
910,44470
911,44528
912,44584
913,44641
914,44696
915,44696
916,44696
917,44696
918,44752
919,44752
920,44810
921,44810
922,44868
923,44926
924,44982
925,45038
926,45095
927,45153
928,45211
929,45269
930,45327
931,45383
932,45440
933,45497
934,45556
935,45556
936,45614
937,45672
938,45730
939,45787
940,45845
941,45903
942,45960
943,46017
944,46072
945,46072
946,46072
947,46130
948,46188
949,46246
950,46303
951,46303
952,46360
953,46360
954,46417
955,46474
956,46532
957,46532
958,46590
959,46648
960,46705
961,46763
962,46763
963,46820
964,46878
965,46936
966,46936
967,46936
968,46993
969,47051
970,47051
971,47051
972,47108
973,47108
974,47166
975,47166
976,47166
977,47223
978,47281
979,47338
980,47395
981,47395
982,47453
983,47511
984,47569
985,47627
986,47684
987,47684
988,47742
989,47742
990,47800
991,47857
992,47857
993,47915
994,47972
995,47972
996,48029
997,48087
998,48087
999,48087
1000,48087
1001,48145
1002,48145
1003,48145
1004,48203
1005,48260
1006,48260
1007,48260
1008,48317
1009,48317
1010,48317
1011,48375
1012,48375
1013,48434
1014,48434
1015,48493
1016,48493
1017,48493
1018,48493
1019,48552
1020,48611
1021,48611
1022,48611
1023,48611
1024,48611
1025,48669
1026,48728
1027,48728
1028,48728
1029,48728
1030,48728
1031,48786
1032,48845
1033,48845
1034,48845
1035,48904
1036,48904
1037,48904
1038,48904
1039,48904
1040,48963
1041,48963
1042,48963
1043,49022
1044,49022
1045,49081
1046,49140
1047,49140
1048,49140
1049,49140
1050,49140
1051,49140
1052,49140
1053,49140
