Round Number, Alive Node
-1,50
1,50
2,50
3,50
4,50
5,50
6,50
7,50
8,50
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,50
30,50
31,50
32,50
33,50
34,50
35,50
36,50
37,50
38,50
39,50
40,50
41,50
42,50
43,50
44,50
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,50
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,50
132,50
133,50
134,50
135,50
136,50
137,50
138,50
139,50
140,50
141,50
142,50
143,50
144,50
145,50
146,49
147,49
148,49
149,49
150,49
151,49
152,49
153,49
154,49
155,49
156,49
157,49
158,49
159,49
160,49
161,49
162,49
163,49
164,49
165,49
166,49
167,49
168,49
169,49
170,49
171,49
172,49
173,49
174,49
175,49
176,49
177,49
178,49
179,49
180,49
181,49
182,49
183,49
184,48
185,48
186,48
187,48
188,48
189,48
190,48
191,48
192,48
193,47
194,47
195,47
196,47
197,47
198,47
199,47
200,47
201,47
202,47
203,47
204,47
205,47
206,47
207,47
208,47
209,47
210,47
211,47
212,47
213,47
214,47
215,47
216,47
217,47
218,47
219,47
220,47
221,47
222,46
223,46
224,46
225,46
226,46
227,46
228,46
229,46
230,44
231,44
232,44
233,44
234,44
235,44
236,44
237,44
238,43
239,43
240,43
241,43
242,43
243,43
244,43
245,43
246,43
247,43
248,43
249,43
250,43
251,43
252,43
253,43
254,42
255,42
256,42
257,41
258,41
259,41
260,41
261,40
262,40
263,40
264,40
265,40
266,40
267,40
268,40
269,40
270,40
271,40
272,40
273,40
274,39
275,39
276,38
277,38
278,38
279,38
280,38
281,38
282,38
283,38
284,38
285,38
286,38
287,37
288,37
289,37
290,37
291,37
292,37
293,37
294,37
295,37
296,37
297,37
298,37
299,37
300,37
301,37
302,37
303,37
304,37
305,37
306,37
307,37
308,37
309,37
310,37
311,37
312,37
313,37
314,37
315,37
316,37
317,37
318,37
319,37
320,37
321,37
322,37
323,37
324,37
325,37
326,37
327,37
328,37
329,37
330,37
331,37
332,37
333,37
334,37
335,37
336,37
337,37
338,37
339,37
340,37
341,37
342,37
343,37
344,37
345,37
346,37
347,37
348,37
349,37
350,37
351,37
352,37
353,37
354,37
355,37
356,37
357,37
358,37
359,37
360,37
361,37
362,37
363,37
364,37
365,37
366,37
367,37
368,37
369,37
370,37
371,37
372,37
373,37
374,37
375,37
376,37
377,37
378,37
379,37
380,37
381,37
382,37
383,36
384,36
385,36
386,36
387,36
388,36
389,36
390,36
391,36
392,36
393,36
394,36
395,36
396,36
397,36
398,36
399,36
400,36
401,36
402,36
403,36
404,36
405,36
406,36
407,36
408,36
409,36
410,36
411,36
412,36
413,36
414,36
415,36
416,36
417,36
418,36
419,36
420,36
421,36
422,36
423,36
424,36
425,36
426,36
427,36
428,35
429,35
430,35
431,35
432,35
433,35
434,35
435,35
436,35
437,35
438,35
439,35
440,35
441,35
442,35
443,34
444,34
445,34
446,34
447,34
448,34
449,34
450,34
451,34
452,34
453,34
454,34
455,34
456,34
457,34
458,33
459,33
460,33
461,33
462,33
463,33
464,33
465,32
466,32
467,32
468,32
469,32
470,32
471,32
472,32
473,32
474,32
475,32
476,32
477,32
478,32
479,32
480,32
481,32
482,32
483,32
484,31
485,31
486,31
487,31
488,31
489,31
490,31
491,31
492,31
493,31
494,31
495,31
496,31
497,31
498,31
499,31
500,31
501,31
502,31
503,31
504,31
505,31
506,31
507,31
508,31
509,31
510,31
511,31
512,31
513,31
514,31
515,31
516,31
517,31
518,31
519,31
520,31
521,31
522,31
523,31
524,31
525,31
526,31
527,31
528,31
529,31
530,31
531,31
532,31
533,31
534,30
535,30
536,30
537,30
538,30
539,30
540,30
541,30
542,30
543,30
544,30
545,30
546,30
547,30
548,30
549,30
550,30
551,30
552,29
553,28
554,28
555,28
556,28
557,28
558,28
559,28
560,28
561,28
562,28
563,28
564,28
565,28
566,28
567,28
568,28
569,28
570,28
571,28
572,28
573,28
574,28
575,28
576,28
577,28
578,28
579,28
580,28
581,28
582,28
583,28
584,28
585,28
586,28
587,28
588,27
589,27
590,27
591,27
592,27
593,27
594,27
595,27
596,27
597,27
598,27
599,27
600,27
601,27
602,27
603,27
604,27
605,27
606,27
607,27
608,27
609,27
610,27
611,27
612,27
613,27
614,27
615,27
616,27
617,27
618,27
619,27
620,27
621,27
622,27
623,27
624,27
625,27
626,27
627,27
628,27
629,27
630,27
631,27
632,27
633,27
634,27
635,27
636,27
637,27
638,27
639,26
640,26
641,26
642,26
643,26
644,26
645,26
646,26
647,26
648,26
649,26
650,26
651,26
652,26
653,26
654,26
655,26
656,26
657,26
658,26
659,26
660,26
661,26
662,26
663,26
664,26
665,26
666,26
667,26
668,26
669,26
670,26
671,26
672,26
673,26
674,26
675,26
676,26
677,26
678,26
679,26
680,26
681,26
682,26
683,26
684,26
685,26
686,26
687,26
688,26
689,26
690,26
691,26
692,26
693,26
694,26
695,26
696,26
697,26
698,26
699,26
700,26
701,26
702,26
703,25
704,25
705,25
706,25
707,24
708,24
709,24
710,24
711,24
712,24
713,24
714,24
715,23
716,23
717,23
718,23
719,23
720,23
721,23
722,23
723,23
724,23
725,23
726,23
727,23
728,23
729,23
730,23
731,23
732,23
733,23
734,23
735,23
736,23
737,23
738,23
739,23
740,23
741,23
742,23
743,23
744,23
745,23
746,23
747,23
748,23
749,23
750,23
751,23
752,23
753,23
754,23
755,23
756,23
757,23
758,23
759,23
760,23
761,23
762,23
763,23
764,23
765,23
766,23
767,23
768,23
769,23
770,23
771,23
772,23
773,23
774,23
775,23
776,23
777,23
778,23
779,23
780,23
781,23
782,23
783,23
784,23
785,23
786,23
787,23
788,23
789,23
790,23
791,23
792,23
793,23
794,23
795,23
796,23
797,23
798,23
799,23
800,23
801,23
802,23
803,23
804,23
805,23
806,23
807,23
808,23
809,23
810,23
811,23
812,23
813,23
814,23
815,23
816,23
817,23
818,23
819,23
820,23
821,23
822,23
823,23
824,23
825,23
826,23
827,23
828,22
829,22
830,22
831,22
832,22
833,22
834,22
835,22
836,22
837,22
838,22
839,22
840,22
841,22
842,22
843,22
844,22
845,22
846,22
847,22
848,22
849,22
850,22
851,22
852,22
853,22
854,22
855,22
856,22
857,22
858,22
859,22
860,22
861,22
862,22
863,22
864,22
865,22
866,22
867,22
868,21
869,21
870,20
871,20
872,20
873,20
874,19
875,19
876,19
877,19
878,19
879,19
880,17
881,16
882,16
883,16
884,16
885,16
886,16
887,16
888,16
889,16
890,16
891,16
892,16
893,15
894,15
895,15
896,15
897,15
898,15
