Round Number, Network Remaining Energy
-1,25.000000
1,24.985715
2,24.924858
3,24.890503
4,24.836880
5,24.788525
6,24.779320
7,24.721034
8,24.656676
9,24.584587
10,24.523161
11,24.488014
12,24.454393
13,24.412135
14,24.334863
15,24.271884
16,24.261542
17,24.213827
18,24.159636
19,24.088759
20,24.018053
21,23.948716
22,23.925328
23,23.874079
24,23.807927
25,23.767412
26,23.709068
27,23.658098
28,23.613810
29,23.571469
30,23.501199
31,23.440265
32,23.381629
33,23.329462
34,23.275676
35,23.187525
36,23.121686
37,23.072350
38,23.041176
39,22.983967
40,22.916197
41,22.844721
42,22.784905
43,22.743177
44,22.734045
45,22.695468
46,22.656609
47,22.596558
48,22.538046
49,22.488411
50,22.423982
51,22.365769
52,22.307211
53,22.259106
54,22.213432
55,22.144649
56,22.078279
57,22.023050
58,21.941417
59,21.929738
60,21.865130
61,21.805716
62,21.740408
63,21.705730
64,21.671542
65,21.616263
66,21.606998
67,21.536907
68,21.475481
69,21.442822
70,21.390676
71,21.304151
72,21.238103
73,21.201816
74,21.148298
75,21.139185
76,21.083215
77,21.019518
78,20.935288
79,20.899166
80,20.843200
81,20.783841
82,20.656522
83,20.592049
84,20.529155
85,20.466517
86,20.405695
87,20.339010
88,20.328955
89,20.288050
90,20.247402
91,20.181293
92,20.116542
93,20.060094
94,20.022343
95,19.988730
96,19.937630
97,19.865843
98,19.823139
99,19.809181
100,19.750760
101,19.655117
102,19.620056
103,19.591443
104,19.530756
105,19.495826
106,19.432078
107,19.395005
108,19.340232
109,19.272487
110,19.213384
111,19.168543
112,19.121148
113,19.111480
114,19.076986
115,19.003141
116,18.944435
117,18.883313
118,18.843028
119,18.770388
120,18.675256
121,18.619278
122,18.559753
123,18.550926
124,18.474572
125,18.435012
126,18.386229
127,18.331164
128,18.280932
129,18.216826
130,18.162910
131,18.151343
132,18.112269
133,18.060393
134,18.022711
135,17.946132
136,17.905378
137,17.854443
138,17.801826
139,17.730374
140,17.673562
141,17.606679
142,17.548268
143,17.484762
144,17.419644
145,17.376765
146,17.340650
147,17.306023
148,17.261037
149,17.251573
150,17.193443
151,17.155936
152,17.117090
153,17.069283
154,17.013770
155,16.956686
156,16.947440
157,16.865679
158,16.809729
159,16.739415
160,16.731448
161,16.694558
162,16.639774
163,16.595059
164,16.524671
165,16.209471
166,16.158537
167,16.109231
168,16.062343
169,16.008605
170,15.996051
171,15.944663
172,15.884735
173,15.825136
174,15.779888
175,15.732260
176,15.679515
177,15.639792
178,15.580498
179,15.499440
180,15.464008
181,15.416900
182,15.357534
183,15.321420
184,15.256923
185,15.213796
186,15.149113
187,15.104904
188,15.068760
189,15.003944
190,14.927937
191,14.882806
192,14.838190
193,14.795339
194,14.761575
195,14.715381
196,14.665078
197,14.655904
198,14.622857
199,14.567125
200,14.557295
201,14.513679
202,14.465325
203,14.414451
204,14.381538
205,14.323012
206,14.286244
207,14.236137
208,14.185560
209,14.138309
210,14.091907
211,14.010684
212,14.002702
213,13.971705
214,13.934779
215,13.904576
216,13.856082
217,13.802338
218,13.771541
219,13.691989
220,13.654385
221,13.602130
222,13.562459
223,13.527170
224,13.490225
225,13.472513
226,13.406986
227,13.375347
228,13.345844
229,13.302299
230,13.249292
231,13.212782
232,13.166471
233,13.134147
234,13.090064
235,13.047270
236,13.038486
237,13.001758
238,12.974223
239,12.933542
240,12.904495
241,12.869979
242,12.832708
243,12.794195
244,12.763134
245,12.722886
246,12.687158
247,12.677994
248,12.636854
249,12.608058
250,12.578484
251,12.534114
252,12.504551
253,12.469372
254,12.441550
255,12.404353
256,12.375436
257,12.336029
258,12.306376
259,12.248842
260,12.207225
261,12.179084
262,12.141987
263,12.114011
264,12.087843
265,12.036048
266,12.009627
267,11.994384
268,11.945547
269,11.920560
270,11.894780
271,11.843416
272,11.802448
273,11.773913
274,11.751374
275,11.720566
276,11.685599
277,11.617923
278,11.608974
279,11.582482
280,11.537348
281,11.486271
282,11.459335
283,11.432475
284,11.410004
285,11.353169
286,11.329914
287,11.258138
288,11.229122
289,11.194458
290,11.164123
291,11.140958
292,11.114940
293,11.092566
294,11.056672
295,11.031745
296,11.003984
297,10.977351
298,10.955728
299,10.927534
300,10.892732
301,10.853928
302,10.828505
303,10.804837
304,10.779745
305,10.742480
306,10.714933
307,10.692832
308,10.672331
309,10.640610
310,10.618612
311,10.611212
312,10.580727
313,10.553797
314,10.528015
315,10.504881
316,10.472472
317,10.444246
318,10.423736
319,10.403198
320,10.379388
321,10.353212
322,10.339507
323,10.309656
324,10.285854
325,10.265268
326,10.238630
327,10.231230
328,10.207406
329,10.174762
330,10.156894
331,10.128222
332,10.105174
333,10.077497
334,10.047479
335,10.026292
336,10.018892
337,9.992771
338,9.964089
339,9.941038
340,9.919176
341,9.893406
342,9.864688
343,9.839330
344,9.815339
345,9.788980
346,9.763680
347,9.731490
348,9.724090
349,9.702875
350,9.677881
351,9.651132
352,9.617651
353,9.592108
354,9.566762
355,9.542155
356,9.506834
357,9.482757
358,9.461960
359,9.437490
360,9.402995
361,9.381835
362,9.353324
363,9.331961
364,9.268645
365,9.244742
366,9.221709
367,9.192838
368,9.179926
369,9.154659
370,9.131593
371,9.120549
372,9.099614
373,9.073156
374,9.041347
375,9.015209
376,8.987665
377,8.966647
378,8.939610
379,8.909029
380,8.843054
381,8.818839
382,8.792205
383,8.766573
384,8.738825
385,8.717397
386,8.690478
387,8.663364
388,8.641564
389,8.605679
390,8.583379
391,8.561427
392,8.533173
393,8.507940
394,8.478122
395,8.455965
396,8.432516
397,8.404262
398,8.373328
399,8.337436
400,8.316352
401,8.280362
402,8.258679
403,8.230906
404,8.207737
405,8.179560
406,8.156310
407,8.129833
408,8.107632
409,8.085103
410,8.061466
411,8.032255
412,8.007043
413,7.977364
414,7.952446
415,7.929301
416,7.922101
417,7.871213
418,7.848963
419,7.837666
420,7.814919
421,7.789738
422,7.763623
423,7.738855
424,7.708755
425,7.684399
426,7.659530
427,7.631517
428,7.611348
429,7.604348
430,7.580596
431,7.557956
432,7.534147
433,7.502618
434,7.451625
435,7.426735
436,7.383889
437,7.373277
438,7.350476
439,7.327531
440,7.295499
441,7.273451
442,7.217116
443,7.193616
444,7.171719
445,7.150578
446,7.126453
447,7.107640
448,7.087891
449,7.065722
450,7.042876
451,7.018624
452,6.998925
453,6.974616
454,6.939295
455,6.918253
456,6.896647
457,6.877339
458,6.856777
459,6.838874
460,6.814130
461,6.794504
462,6.773071
463,6.753071
464,6.733562
465,6.712256
466,6.669994
467,6.663594
468,6.642641
469,6.624165
470,6.604867
471,6.583036
472,6.564802
473,6.542620
474,6.520609
475,6.501623
476,6.476955
477,6.466015
478,6.446605
479,6.426313
480,6.408734
481,6.387326
482,6.363364
483,6.341940
484,6.331774
485,6.310514
486,6.293373
487,6.275025
488,6.257772
489,6.237469
490,6.216989
491,6.200270
492,6.180405
493,6.164247
494,6.145557
495,6.139357
496,6.121187
497,6.099690
498,6.083538
499,6.064668
500,6.045873
501,6.023612
502,6.006976
503,5.986918
504,5.970292
505,5.951602
506,5.933402
507,5.912269
508,5.895422
509,5.871808
510,5.855529
511,5.820898
512,5.802214
513,5.785462
514,5.764138
515,5.746657
516,5.725399
517,5.703230
518,5.684540
519,5.668388
520,5.646711
521,5.628197
522,5.606911
523,5.590614
524,5.574198
525,5.513895
526,5.495072
527,5.477421
528,5.458171
529,5.437579
530,5.416218
531,5.410018
532,5.388105
533,5.364460
534,5.344378
535,5.328423
536,5.311744
537,5.295280
538,5.279304
539,5.261199
540,5.245218
541,5.229539
542,5.213355
543,5.191120
544,5.173978
545,5.157257
546,5.138238
547,5.119096
548,5.113096
549,5.095213
550,5.073738
551,5.056904
552,5.038096
553,5.022718
554,5.006002
555,4.984635
556,4.968916
557,4.949771
558,4.933237
559,4.914412
560,4.897922
