Round Number, Total Energy Consumption
-1,0.000000
1,0.014285
2,0.075142
3,0.109497
4,0.163120
5,0.211475
6,0.220680
7,0.278966
8,0.343324
9,0.415413
10,0.476839
11,0.511986
12,0.545607
13,0.587865
14,0.665137
15,0.728116
16,0.738458
17,0.786173
18,0.840364
19,0.911241
20,0.981947
21,1.051284
22,1.074672
23,1.125921
24,1.192073
25,1.232588
26,1.290932
27,1.341902
28,1.386190
29,1.428531
30,1.498801
31,1.559735
32,1.618371
33,1.670538
34,1.724324
35,1.812475
36,1.878314
37,1.927650
38,1.958824
39,2.016033
40,2.083803
41,2.155279
42,2.215095
43,2.256823
44,2.265955
45,2.304532
46,2.343391
47,2.403442
48,2.461954
49,2.511589
50,2.576018
51,2.634231
52,2.692789
53,2.740894
54,2.786568
55,2.855351
56,2.921721
57,2.976950
58,3.058583
59,3.070262
60,3.134870
61,3.194284
62,3.259592
63,3.294270
64,3.328458
65,3.383737
66,3.393002
67,3.463093
68,3.524519
69,3.557178
70,3.609324
71,3.695849
72,3.761897
73,3.798184
74,3.851702
75,3.860815
76,3.916785
77,3.980482
78,4.064712
79,4.100834
80,4.156800
81,4.216159
82,4.343478
83,4.407951
84,4.470845
85,4.533483
86,4.594305
87,4.660990
88,4.671045
89,4.711950
90,4.752598
91,4.818707
92,4.883458
93,4.939906
94,4.977657
95,5.011270
96,5.062370
97,5.134157
98,5.176861
99,5.190819
100,5.249240
101,5.344883
102,5.379944
103,5.408557
104,5.469244
105,5.504174
106,5.567922
107,5.604995
108,5.659768
109,5.727513
110,5.786616
111,5.831457
112,5.878852
113,5.888520
114,5.923014
115,5.996859
116,6.055565
117,6.116687
118,6.156972
119,6.229612
120,6.324744
121,6.380722
122,6.440247
123,6.449074
124,6.525428
125,6.564988
126,6.613771
127,6.668836
128,6.719068
129,6.783174
130,6.837090
131,6.848657
132,6.887731
133,6.939607
134,6.977289
135,7.053868
136,7.094622
137,7.145557
138,7.198174
139,7.269626
140,7.326438
141,7.393321
142,7.451732
143,7.515238
144,7.580356
145,7.623235
146,7.659350
147,7.693977
148,7.738963
149,7.748427
150,7.806557
151,7.844064
152,7.882910
153,7.930717
154,7.986230
155,8.043314
156,8.052560
157,8.134321
158,8.190271
159,8.260585
160,8.268552
161,8.305442
162,8.360226
163,8.404941
164,8.475329
165,8.790529
166,8.841463
167,8.890769
168,8.937657
169,8.991395
170,9.003949
171,9.055337
172,9.115265
173,9.174864
174,9.220112
175,9.267740
176,9.320485
177,9.360208
178,9.419502
179,9.500560
180,9.535992
181,9.583100
182,9.642466
183,9.678580
184,9.743077
185,9.786204
186,9.850887
187,9.895096
188,9.931240
189,9.996056
190,10.072063
191,10.117194
192,10.161810
193,10.204661
194,10.238425
195,10.284619
196,10.334922
197,10.344096
198,10.377143
199,10.432875
200,10.442705
201,10.486321
202,10.534675
203,10.585549
204,10.618462
205,10.676988
206,10.713756
207,10.763863
208,10.814440
209,10.861691
210,10.908093
211,10.989316
212,10.997298
213,11.028295
214,11.065221
215,11.095424
216,11.143918
217,11.197662
218,11.228459
219,11.308011
220,11.345615
221,11.397870
222,11.437541
223,11.472830
224,11.509775
225,11.527487
226,11.593014
227,11.624653
228,11.654156
229,11.697701
230,11.750708
231,11.787218
