Round Number, Throughput
-1,0
1,1
2,46
3,46
4,44
5,44
6,9
7,42
8,46
9,45
10,43
11,45
12,47
13,45
14,41
15,47
16,10
17,48
18,45
19,44
20,45
21,43
22,9
23,45
24,44
25,46
26,43
27,47
28,45
29,46
30,45
31,42
32,46
33,49
34,44
35,48
36,44
37,46
38,8
39,44
40,42
41,42
42,45
43,46
44,9
45,48
46,46
47,45
48,46
49,46
50,45
51,44
52,42
53,45
54,46
55,45
56,47
57,45
58,46
59,10
60,46
61,45
62,46
63,43
64,47
65,46
66,9
67,41
68,47
69,46
70,46
71,46
72,43
73,45
74,43
75,9
76,45
77,47
78,46
79,47
80,45
81,47
82,49
83,46
84,46
85,43
86,44
87,41
88,10
89,43
90,46
91,47
92,46
93,44
94,43
95,45
96,47
97,44
98,46
99,8
100,47
101,47
102,45
103,8
104,46
105,47
106,45
107,45
108,40
109,46
110,46
111,46
112,45
113,9
114,47
115,44
116,48
117,45
118,42
119,46
120,48
121,44
122,45
123,8
124,43
125,46
126,47
127,44
128,45
129,44
130,45
131,9
132,44
133,45
134,44
135,45
136,46
137,45
138,46
139,45
140,48
141,42
142,47
143,40
144,45
145,46
146,46
147,48
148,47
149,10
150,42
151,48
152,47
153,50
154,43
155,45
156,9
157,49
158,46
159,48
160,7
161,47
162,47
163,45
164,46
165,0
166,47
167,46
168,43
169,44
170,9
171,42
172,45
173,44
174,46
175,47
176,50
177,46
178,45
179,48
180,48
181,48
182,46
183,45
184,42
185,44
186,44
187,50
188,48
189,49
190,39
191,50
192,46
193,49
194,49
195,49
196,47
197,9
198,48
199,44
200,10
201,43
202,51
203,49
204,47
205,50
206,45
207,49
208,44
209,46
210,45
211,51
212,6
213,50
214,42
215,47
216,43
217,50
218,48
219,50
220,49
221,44
222,48
223,47
224,47
225,10
226,49
227,48
228,50
229,48
230,41
231,49
232,49
233,50
234,51
235,52
236,9
237,48
238,51
239,51
240,51
241,49
242,51
243,50
244,47
245,51
246,50
247,10
248,50
249,53
250,51
251,53
252,50
253,50
254,52
255,54
256,51
257,41
258,53
259,53
260,54
261,45
262,728
263,56
264,57
265,58
266,51
267,10
268,67
269,57
270,58
271,57
272,57
273,54
274,52
275,50
276,58
277,58
278,11
279,66
280,58
281,58
282,52
283,55
284,55
285,55
286,50
287,58
288,53
289,58
290,54
291,56
292,56
293,55
294,57
295,51
296,55
297,58
298,56
299,55
300,56
301,57
302,56
303,56
304,55
305,56
306,55
307,55
308,53
309,54
310,57
311,0
312,54
313,54
314,56
315,54
316,57
317,54
318,53
319,55
320,56
321,52
322,28
323,57
324,55
325,54
326,56
327,0
328,52
329,56
330,29
331,53
332,55
333,52
334,56
335,54
336,0
337,57
338,56
339,57
340,54
341,54
342,52
343,54
344,57
345,54
346,56
347,56
348,0
349,57
350,58
351,54
352,56
353,55
354,56
355,53
356,10
357,67
358,54
359,52
360,56
361,54
362,57
363,55
364,58
365,54
366,54
367,55
368,29
369,54
370,55
371,27
372,55
373,57
374,57
375,54
376,56
377,55
378,54
379,56
380,58
381,54
382,53
383,56
384,55
385,55
386,56
387,51
388,57
389,58
390,53
391,52
392,56
393,58
394,57
395,54
396,58
397,52
398,56
399,58
400,56
401,56
402,56
403,54
404,57
405,56
406,56
407,50
408,56
409,57
410,55
411,56
412,54
413,57
414,55
415,52
416,0
417,58
418,52
419,28
420,57
421,54
422,53
423,54
424,57
425,55
426,56
427,57
428,53
429,0
430,56
431,58
432,53
433,56
434,57
435,53
436,58
437,25
438,54
439,58
440,54
441,57
442,58
443,52
444,56
445,57
446,56
447,54
448,56
449,55
450,57
451,54
452,57
453,57
454,10
455,62
456,53
457,57
458,56
459,55
460,52
461,55
462,56
463,53
464,57
465,54
466,58
467,0
468,58
469,55
470,56
471,55
472,56
473,55
474,56
475,55
476,57
477,29
478,56
479,57
480,54
481,55
482,57
483,55
484,12
485,65
486,57
487,56
488,55
489,56
490,53
491,56
492,55
493,55
494,58
495,0
496,56
497,57
498,54
499,56
500,55
501,54
502,56
503,56
504,57
505,58
506,56
507,57
508,57
509,56
510,56
511,58
512,57
513,56
514,56
515,56
516,58
517,57
518,59
519,56
520,58
521,54
522,59
523,55
524,55
525,59
526,57
527,56
528,59
529,57
530,58
531,0
532,57
533,59
534,56
535,58
536,57
537,58
538,51
539,56
540,55
541,55
542,57
543,58
544,56
545,58
546,56
547,58
548,0
549,57
550,58
551,58
552,55
553,56
554,55
555,58
556,56
557,57
558,58
559,56
560,55
561,57
562,56
563,56
564,54
565,53
566,56
567,0
568,57
569,0
570,0
571,57
572,54
573,56
574,54
575,57
576,54
577,0
578,56
579,56
580,55
581,53
582,57
583,58
584,57
585,58
586,55
587,57
588,57
589,56
590,54
591,58
592,55
593,56
594,58
595,56
596,55
597,57
598,58
599,56
600,58
601,58
602,54
603,56
604,58
605,55
606,58
607,55
608,0
609,53
610,58
611,57
612,56
613,55
614,56
615,56
616,56
617,57
618,56
619,56
620,57
621,57
622,56
623,58
624,55
625,57
626,59
627,54
628,57
629,54
630,57
631,56
632,56
633,58
634,0
635,54
636,57
637,57
638,54
639,55
640,57
641,58
642,54
643,57
644,56
645,57
646,56
647,57
648,57
649,56
650,58
651,53
652,55
653,0
654,57
655,54
656,57
657,57
658,0
659,55
660,57
661,57
662,0
663,55
664,56
665,54
666,53
667,0
668,55
669,0
670,57
671,56
672,55
673,56
674,0
675,0
676,56
677,57
678,51
679,0
680,55
681,55
682,53
683,0
684,56
685,56
686,0
687,57
688,58
689,56
690,57
691,57
692,57
693,56
694,56
695,57
696,58
697,56
698,54
699,57
700,53
701,56
702,57
703,56
704,56
705,56
706,56
707,58
708,0
709,57
710,57
711,58
712,57
713,57
714,58
715,57
716,54
717,58
718,56
719,55
720,58
721,57
722,56
723,57
724,57
725,57
726,55
727,57
728,58
729,55
730,57
731,56
732,58
733,54
734,56
735,57
736,58
737,56
738,58
739,58
740,57
741,57
742,58
743,57
744,56
745,55
746,55
747,57
748,57
749,58
750,57
751,56
752,55
753,0
754,0
755,58
756,0
757,54
758,59
759,52
760,55
761,57
762,58
763,56
764,0
765,56
766,55
767,57
768,55
769,0
770,57
771,55
772,57
773,58
774,56
775,56
776,58
777,56
778,57
779,57
780,58
781,55
782,57
783,58
784,58
785,55
786,54
787,58
788,58
789,57
790,56
791,57
792,57
793,56
794,58
795,54
796,57
797,57
798,58
799,57
800,52
801,58
802,58
803,57
804,58
805,57
806,57
807,56
808,58
809,57
810,0
811,56
812,57
813,56
814,58
815,55
816,56
817,57
818,56
819,57
820,58
821,58
822,57
823,58
824,58
825,56
826,55
827,56
828,56
829,56
830,58
831,55
832,58
833,56
834,57
835,58
836,56
837,57
838,56
839,57
840,54
841,56
842,58
843,0
844,58
845,58
846,59
847,57
848,55
849,55
850,57
851,58
852,56
853,54
854,56
855,0
856,58
857,57
858,56
859,57
860,0
861,58
862,56
863,55
864,55
865,55
866,0
867,58
868,56
869,58
870,56
871,57
872,56
873,57
874,58
875,58
876,55
877,57
878,56
879,0
880,55
881,56
882,0
883,55
884,0
885,58
886,58
887,57
888,58
889,57
890,59
891,58
892,56
893,58
894,56
895,55
896,0
897,58
898,58
899,58
900,57
901,58
902,56
903,57
904,0
905,58
906,57
907,57
908,58
909,58
910,0
911,56
912,59
913,58
914,58
915,56
916,57
917,58
918,58
919,57
920,58
921,56
922,56
923,57
924,57
925,0
926,58
927,58
928,57
929,0
930,56
931,57
932,55
933,58
934,59
935,0
936,0
937,58
938,57
939,58
940,0
941,58
942,55
943,56
944,58
945,57
946,58
947,57
948,58
949,0
950,58
951,57
952,58
953,57
954,58
955,58
956,0
957,57
958,0
959,56
960,58
961,0
962,58
963,57
964,56
965,58
966,58
967,0
968,58
969,58
970,58
971,58
972,58
973,57
974,58
975,0
976,0
977,57
978,58
979,0
980,0
981,58
982,0
983,57
984,58
985,58
986,56
987,0
988,0
989,0
990,58
991,0
992,0
993,56
994,0
995,0
996,58
997,58
998,58
999,0
1000,59
1001,58
1002,0
1003,0
1004,0
1005,58
1006,0
1007,57
1008,58
1009,58
1010,0
1011,0
1012,59
1013,0
1014,0
1015,59
1016,59
1017,0
1018,57
1019,0
1020,59
1021,59
1022,0
1023,59
1024,59
1025,59
1026,0
1027,0
1028,0
1029,0
1030,0
1031,59
1032,0
1033,58
1034,0
1035,59
1036,59
1037,0
1038,0
1039,0
1040,59
1041,0
1042,0
1043,59
1044,0
1045,59
1046,59
1047,0
1048,59
1049,0
1050,59
1051,0
1052,0
1053,59
1054,0
1055,0
1056,0
1057,0
1058,0
1059,59
