Round Number, No data in Sink
-1,0
1,1
2,47
3,93
4,137
5,181
6,190
7,232
8,278
9,323
10,366
11,411
12,458
13,503
14,544
15,591
16,601
17,649
18,694
19,738
20,783
21,826
22,835
23,880
24,924
25,970
26,1013
27,1060
28,1105
29,1151
30,1196
31,1238
32,1284
33,1333
34,1377
35,1425
36,1469
37,1515
38,1523
39,1567
40,1609
41,1651
42,1696
43,1742
44,1751
45,1799
46,1845
47,1890
48,1936
49,1982
50,2027
51,2071
52,2113
53,2158
54,2204
55,2249
56,2296
57,2341
58,2387
59,2397
60,2443
61,2488
62,2534
63,2577
64,2624
65,2670
66,2679
67,2720
68,2767
69,2813
70,2859
71,2905
72,2948
73,2993
74,3036
75,3045
76,3090
77,3137
78,3183
79,3230
80,3275
81,3322
82,3371
83,3417
84,3463
85,3506
86,3550
87,3591
88,3601
89,3644
90,3690
91,3737
92,3783
93,3827
94,3870
95,3915
96,3962
97,4006
98,4052
99,4060
100,4107
101,4154
102,4199
103,4207
104,4253
105,4300
106,4345
107,4390
108,4430
109,4476
110,4522
111,4568
112,4613
113,4622
114,4669
115,4713
116,4761
117,4806
118,4848
119,4894
120,4942
121,4986
122,5031
123,5039
124,5082
125,5128
126,5175
127,5219
128,5264
129,5308
130,5353
131,5362
132,5406
133,5451
134,5495
135,5540
136,5586
137,5631
138,5677
139,5722
140,5770
141,5812
142,5859
143,5899
144,5944
145,5990
146,6036
147,6084
148,6131
149,6141
150,6183
151,6231
152,6278
153,6328
154,6371
155,6416
156,6425
157,6474
158,6520
159,6568
160,6575
161,6622
162,6669
163,6714
164,6760
165,6760
166,6807
167,6853
168,6896
169,6940
170,6949
171,6991
172,7036
173,7080
174,7126
175,7173
176,7223
177,7269
178,7314
179,7362
180,7410
181,7458
182,7504
183,7549
184,7591
185,7635
186,7679
187,7729
188,7777
189,7826
190,7865
191,7915
192,7961
193,8010
194,8059
195,8108
196,8155
197,8164
198,8212
199,8256
200,8266
201,8309
202,8360
203,8409
204,8456
205,8506
206,8551
207,8600
208,8644
209,8690
210,8735
211,8786
212,8792
213,8842
214,8884
215,8931
216,8974
217,9024
218,9072
219,9122
220,9171
221,9215
222,9263
223,9310
224,9357
225,9367
226,9416
227,9464
228,9514
229,9562
230,9603
231,9652
232,9701
233,9751
234,9802
235,9854
236,9863
237,9911
238,9962
239,10013
240,10064
241,10113
242,10164
243,10214
244,10261
245,10312
246,10362
247,10372
248,10422
249,10475
250,10526
251,10579
252,10629
253,10679
254,10731
255,10785
256,10836
257,10877
258,10930
259,10983
260,11037
261,11082
262,11810
263,11866
264,11923
265,11981
266,12032
267,12042
268,12109
269,12166
270,12224
271,12281
272,12338
273,12392
274,12444
275,12494
276,12552
277,12610
278,12621
279,12687
280,12745
281,12803
282,12855
283,12910
284,12965
285,13020
286,13070
287,13128
288,13181
289,13239
290,13293
291,13349
292,13405
293,13460
294,13517
295,13568
296,13623
297,13681
298,13737
299,13792
300,13848
301,13905
302,13961
303,14017
304,14072
305,14128
306,14183
307,14238
308,14291
309,14345
310,14402
311,14402
312,14456
313,14510
314,14566
315,14620
316,14677
317,14731
318,14784
319,14839
320,14895
321,14947
322,14975
323,15032
324,15087
325,15141
326,15197
327,15197
328,15249
329,15305
330,15334
331,15387
332,15442
333,15494
334,15550
335,15604
336,15604
337,15661
338,15717
339,15774
340,15828
341,15882
342,15934
343,15988
344,16045
345,16099
346,16155
347,16211
348,16211
349,16268
350,16326
351,16380
352,16436
353,16491
354,16547
355,16600
356,16610
357,16677
358,16731
359,16783
360,16839
361,16893
362,16950
363,17005
364,17063
365,17117
366,17171
367,17226
368,17255
369,17309
370,17364
371,17391
372,17446
373,17503
374,17560
375,17614
376,17670
377,17725
378,17779
379,17835
380,17893
381,17947
382,18000
383,18056
384,18111
385,18166
386,18222
387,18273
388,18330
389,18388
390,18441
391,18493
392,18549
393,18607
394,18664
395,18718
396,18776
397,18828
398,18884
399,18942
400,18998
401,19054
402,19110
403,19164
404,19221
405,19277
406,19333
407,19383
408,19439
409,19496
410,19551
411,19607
412,19661
413,19718
414,19773
415,19825
416,19825
417,19883
418,19935
419,19963
420,20020
421,20074
422,20127
423,20181
424,20238
425,20293
426,20349
427,20406
428,20459
429,20459
430,20515
431,20573
432,20626
433,20682
434,20739
435,20792
436,20850
437,20875
438,20929
439,20987
440,21041
441,21098
442,21156
443,21208
444,21264
445,21321
446,21377
447,21431
448,21487
449,21542
450,21599
451,21653
452,21710
453,21767
454,21777
455,21839
456,21892
457,21949
458,22005
459,22060
460,22112
461,22167
462,22223
463,22276
464,22333
465,22387
466,22445
467,22445
468,22503
469,22558
470,22614
471,22669
472,22725
473,22780
474,22836
475,22891
476,22948
477,22977
478,23033
479,23090
480,23144
481,23199
482,23256
483,23311
484,23323
485,23388
486,23445
487,23501
488,23556
489,23612
490,23665
491,23721
492,23776
493,23831
494,23889
495,23889
496,23945
497,24002
498,24056
499,24112
500,24167
501,24221
502,24277
503,24333
504,24390
505,24448
506,24504
507,24561
508,24618
509,24674
510,24730
511,24788
512,24845
513,24901
514,24957
515,25013
516,25071
517,25128
518,25187
519,25243
520,25301
521,25355
522,25414
523,25469
524,25524
525,25583
526,25640
527,25696
528,25755
529,25812
530,25870
531,25870
532,25927
533,25986
534,26042
535,26100
536,26157
537,26215
538,26266
539,26322
540,26377
541,26432
542,26489
543,26547
544,26603
545,26661
546,26717
547,26775
548,26775
549,26832
550,26890
551,26948
552,27003
553,27059
554,27114
555,27172
556,27228
557,27285
558,27343
559,27399
560,27454
561,27511
562,27567
563,27623
564,27677
565,27730
566,27786
567,27786
568,27843
569,27843
570,27843
571,27900
572,27954
573,28010
574,28064
575,28121
576,28175
577,28175
578,28231
579,28287
580,28342
581,28395
582,28452
583,28510
584,28567
585,28625
586,28680
587,28737
588,28794
589,28850
590,28904
591,28962
592,29017
593,29073
594,29131
595,29187
596,29242
597,29299
598,29357
599,29413
600,29471
601,29529
602,29583
603,29639
604,29697
605,29752
606,29810
607,29865
608,29865
609,29918
610,29976
611,30033
612,30089
613,30144
614,30200
615,30256
616,30312
617,30369
618,30425
619,30481
620,30538
621,30595
622,30651
623,30709
624,30764
625,30821
626,30880
627,30934
628,30991
629,31045
630,31102
631,31158
632,31214
633,31272
634,31272
635,31326
636,31383
637,31440
638,31494
639,31549
640,31606
641,31664
642,31718
643,31775
644,31831
645,31888
646,31944
647,32001
648,32058
649,32114
650,32172
651,32225
652,32280
653,32280
654,32337
655,32391
656,32448
657,32505
658,32505
659,32560
660,32617
661,32674
662,32674
663,32729
664,32785
665,32839
666,32892
667,32892
668,32947
669,32947
670,33004
671,33060
672,33115
673,33171
674,33171
675,33171
676,33227
677,33284
678,33335
679,33335
680,33390
681,33445
682,33498
683,33498
684,33554
685,33610
686,33610
687,33667
688,33725
689,33781
690,33838
691,33895
692,33952
693,34008
694,34064
695,34121
696,34179
697,34235
698,34289
699,34346
700,34399
701,34455
702,34512
703,34568
704,34624
705,34680
706,34736
707,34794
708,34794
709,34851
710,34908
711,34966
712,35023
713,35080
714,35138
715,35195
716,35249
717,35307
718,35363
719,35418
720,35476
721,35533
722,35589
723,35646
724,35703
725,35760
726,35815
727,35872
728,35930
729,35985
730,36042
731,36098
732,36156
733,36210
734,36266
735,36323
736,36381
737,36437
738,36495
739,36553
740,36610
741,36667
742,36725
743,36782
744,36838
745,36893
746,36948
747,37005
748,37062
749,37120
750,37177
751,37233
752,37288
753,37288
754,37288
755,37346
756,37346
757,37400
758,37459
759,37511
760,37566
761,37623
762,37681
763,37737
764,37737
765,37793
766,37848
767,37905
768,37960
769,37960
770,38017
771,38072
772,38129
773,38187
774,38243
775,38299
776,38357
777,38413
778,38470
779,38527
780,38585
781,38640
782,38697
783,38755
784,38813
785,38868
786,38922
787,38980
788,39038
789,39095
790,39151
791,39208
792,39265
793,39321
794,39379
795,39433
796,39490
797,39547
798,39605
799,39662
800,39714
801,39772
802,39830
803,39887
804,39945
805,40002
806,40059
807,40115
808,40173
809,40230
810,40230
811,40286
812,40343
813,40399
814,40457
815,40512
816,40568
817,40625
818,40681
819,40738
820,40796
821,40854
822,40911
823,40969
824,41027
825,41083
826,41138
827,41194
828,41250
829,41306
830,41364
831,41419
832,41477
833,41533
834,41590
835,41648
836,41704
837,41761
838,41817
839,41874
840,41928
841,41984
842,42042
843,42042
844,42100
845,42158
846,42217
847,42274
848,42329
849,42384
850,42441
851,42499
852,42555
853,42609
854,42665
855,42665
856,42723
857,42780
858,42836
859,42893
860,42893
861,42951
862,43007
863,43062
864,43117
865,43172
866,43172
867,43230
868,43286
869,43344
870,43400
871,43457
872,43513
873,43570
874,43628
875,43686
876,43741
877,43798
878,43854
879,43854
880,43909
881,43965
882,43965
883,44020
884,44020
885,44078
886,44136
887,44193
888,44251
889,44308
890,44367
891,44425
892,44481
893,44539
894,44595
895,44650
896,44650
897,44708
898,44766
899,44824
900,44881
901,44939
902,44995
903,45052
904,45052
905,45110
906,45167
907,45224
908,45282
909,45340
910,45340
911,45396
912,45455
913,45513
914,45571
915,45627
916,45684
917,45742
918,45800
919,45857
920,45915
921,45971
922,46027
923,46084
924,46141
925,46141
926,46199
927,46257
928,46314
929,46314
930,46370
931,46427
932,46482
933,46540
934,46599
935,46599
936,46599
937,46657
938,46714
939,46772
940,46772
941,46830
942,46885
943,46941
944,46999
945,47056
946,47114
947,47171
948,47229
949,47229
950,47287
951,47344
952,47402
953,47459
954,47517
955,47575
956,47575
957,47632
958,47632
959,47688
960,47746
961,47746
962,47804
963,47861
964,47917
965,47975
966,48033
967,48033
968,48091
969,48149
970,48207
971,48265
972,48323
973,48380
974,48438
975,48438
976,48438
977,48495
978,48553
979,48553
980,48553
981,48611
982,48611
983,48668
984,48726
985,48784
986,48840
987,48840
988,48840
989,48840
990,48898
991,48898
992,48898
993,48954
994,48954
995,48954
996,49012
997,49070
998,49128
999,49128
1000,49187
1001,49245
1002,49245
1003,49245
1004,49245
1005,49303
1006,49303
1007,49360
1008,49418
1009,49476
1010,49476
1011,49476
1012,49535
1013,49535
1014,49535
1015,49594
1016,49653
1017,49653
1018,49710
1019,49710
1020,49769
1021,49828
1022,49828
1023,49887
1024,49946
1025,50005
1026,50005
1027,50005
1028,50005
1029,50005
1030,50005
1031,50064
1032,50064
1033,50122
1034,50122
1035,50181
1036,50240
1037,50240
1038,50240
1039,50240
1040,50299
1041,50299
1042,50299
1043,50358
1044,50358
1045,50417
1046,50476
1047,50476
1048,50535
1049,50535
1050,50594
1051,50594
1052,50594
1053,50653
1054,50653
1055,50653
1056,50653
1057,50653
1058,50653
1059,50712
